birth_year,start_month,end_month,months_investing,total_contributed,ending_value,return_multiple,cumulative_return_pct
2008,2033-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2009,2034-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2010,2035-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2011,2036-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2012,2037-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2013,2038-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2014,2039-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2015,2040-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2016,2041-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2017,2042-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2018,2043-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2019,2044-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2020,2045-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2021,2046-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2022,2047-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2023,2048-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2024,2049-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
2025,2050-01-01,2025-12-01,0,0.00,0.000000,0.000000,0.00
